;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q19140;Personally, is sex in a public place hotter than indoor sex?;Yes;No;I'm Not Sure / Wouldn't know;;23411;O;2, 3, 1;sex/intimacy
q19145;Guys/girls who are tall and lanky:;Love it!;Hate it!;Don't particularly care;;21439;O;2, 3, 1;preference
q19148;Would you consider dating someone who had spent considerable time in a mental health facility? (i.e. mental hospital/institution.);Yes;No;I'm Not Sure;;2899;O;2, 3, 1;preference
q19192;Which of the following is MORE important to you:;Finding someone I love and want to be with;Having children;;;18522;O;;"sex/intimacy; preference"
q19198;Would you ever consider dating an open-minded atheist?;Yes;No;I'm Not Sure;;6118;O;2, 3, 1;"religion/superstition; preference"
q19215;Could you date someone who has (and acts on) radical-left politics?;Yes;No way, you commie;As long as it's non-violent.;Not sure;13145;O;2, 3, 4, 1;"politics; preference"
q19219;Can you change a tire on your own?;Yes;No;;;14042;O;;descriptive
q19221;What is your attitude toward service-industry/hospitality professionals (waitstaff, bellhops, valets, etc.)?;They deserve their tips;They need to get a real job;It's a good way to start your career;They're so beneath me;4485;N;;"politics; opinion"
q19236;Is there a point in a relationship where it can get 'too serious'?;Yes;No;;;10153;O;;"sex/intimacy; preference; opinion"
q19263;If you could kill all the mosqutoes in the world in an instant, would you do it?;Yes!;No;I'm Not Sure;;5911;O;2, 3, 1;preference
q19265;A college-level education is...;Necessary;Nice, but not mandatory;Unnecessary;;39043;O;;preference
q19290;Does violence ever solve anything?;Yes, everything;No, violence solves nothing;Most of the time;Almost never, but sometimes;18023;O;2, 4, 3, 1;"politics; opinion"
q19292;Have you ever taken a break while at work to 'play' with yourself ?;Yes;No;;;10007;O;;descriptive
q19365;If you meet someone and they are everything you are looking for, except their body type, do you give them a chance?;Yes;No;;;25296;O;;preference
q19378;How are you most likely to show your partner you care?;Words: Tell them how much you appreciate them;Actions: Do something nice (like a date or errand);Gifts: Buy them flowers, jewelery or a new gadget;Touch: Give them a hug, massage or kiss;40178;N;;"sex/intimacy; preference; descriptive"
q19392;Have you ever written something on the wall of a public toilet?;Yes;No;;;28999;O;;descriptive
q19418;The idea of being a 'housewife' (ie primary caretaker of house/spouse/possible children):;Is appealing;Is creepy, housewives have no self-respect.;Is something I've never thought about;;1914;O;2, 3, 1;opinion
q19445;Do you feel the urge to correct people who say stupid things?;Yes;No;Sometimes;;18479;O;2, 3, 1;"preference; descriptive"
q19446;Have you ever made a booty call (invited over or visited someone you were not actively in a relationship with, just for sexual activity)?;Yes, and I still do.;Yes, I have done it, but don't any more.;No, and I never will.;No, but I suppose I might.;17693;O;3, 4, 2, 1;"preference; descriptive"
q19449;Have you ever gone white water rafting?;Yes, I love it;No, never;Yes, but never again;No, but I'd like to;15713;O;2, (3, 4), 1;"preference; descriptive"
q19458;Is it ok for a girl to ask a guy out on a date?;Yes, it's perfectly ok;Yes, but it comes across as desperate;No;;21497;O;;opinion
q19470;What do you feel is the hardest part of a romantic relationship?;The first time you meet;Going from friends/dating to 'relationship';Dealing with the person day in day out for years;The end of the relationship (by whichever means);3949;N;;opinion
q19475;Do you believe that intelligence is a big factor in how long it takes a person to get angry or frustrated with something or someone?;People of higher intelligence are quick to anger;People of lower intelligence are quick to anger;Intelligence has nothing to do with it;;1209;O;2, 3, 1;opinion
q19481;On average, how do your friends compare to you, age-wise?;They're mostly older than I;They're mostly younger than I;They're about the same age;I don't have that many friends;12306;M;2, 3, 1, [4];descriptive
q19482;Teasing:;Fantastic, make me a sexual martyr;Good in moderation, only if something comes of it;Not so fun;Horrible, the work of evildoers;13793;O;;sex/intimacy
q19483;When you take a liking to someone you...;Talk to them as often as possible.;Talk to them occasionally.;Wait for them to talk to you.;Avoid them.;6997;O;;preference
q19484;Do you ever want to punch people you don't know, right in the face, for superficial reasons (the way they grin, their clothes, their voice, etc.)?;Every day;It happens, but not often;Never;;14926;O;;"preference; descriptive"
q19508;You're talking to an attractive person in a bar and almost everything they say is in some way connected to television or films. What does that make them?;Major geek. Bye.;Cool - I'm just the same;Doesn't bother me;;4692;O;2, 3, 1;preference
q19566;Would you consider dating a High School dropout?;Yes;Yes, if they are doing well;No;;11773;O;;preference
q19567;How many hours of television do you watch per week?;None;1-7;8-20;My brain is fried;20925;O;;descriptive
q19573;Do you value humility?;Yes;No;;;14874;O;;"preference; descriptive"
q19574;Could you date someone that has put off a relationship with someone else, with the intent of picking it up again later?;Yes;No;;;2513;O;;preference
q19625;Do you write creatively (novels, plays, poetry, and so forth)?;Call me Shakespeare;Yes, only for assignments, though;Not really / no;;13088;O;;descriptive
q19649;Do you find body hair attractive?;Yes;No;Depends on where the hair is;;14617;O;2, 3, 1;preference
q19652;How long does it take you to get ready in the morning?;I'm ready when I wake up;Less than 1 hour;1 - 2 hours;2 hours or more;20317;O;;descriptive
q19664;If your 9 year old daughter was begging you to allow her to wear a thong, what would your response be?;Sure, why not?;Hell no.;I would consider it.;;10337;O;2, 3, 1;descriptive
q19681;Are some sex acts with consenting adults inherently wrong or immoral?  Assume no unusual risk of injury.;Yes;No;;;27949;O;;"sex/intimacy; religion/superstition"
q19690;Would you date someone who used to have a problem with cutting themselves and have scars to prove it?;Yes;No;I'm Not Sure;;11312;O;2, 3, 1;preference
q19691;How would you say your self esteem is?;High;Low;Neither high nor low;;19235;O;2, 3, 1;descriptive
q19692;Are you grossed out by acne ?;Totally;I can tolerate it in moderate amounts;Not at all;;15619;O;;"preference; descriptive"
q19695;In general, are you a competitive person?;Very often;Sometimes / rarely;Never / not really;;21949;O;;descriptive
q19737;Could you live a life full of traveling?;Yes;No;;;24187;O;;descriptive
q19748;What's your opinion of male crossdressers?;I have no problem with them. You go girls!;I respect them, but they still freak me out.;Whatever they do in private is their business.;I do not approve of them.;18786;O;4, (2, 3), 1;"politics; opinion"
q19772;Which of the two would be your preference: A lifetime supply of your favorite snack food or a 30-minute orgasm??;Duh. The 30-minute orgasm;Give me the Snacks!;;;12761;N;;"sex/intimacy; preference"
q19776;At what age is it appropriate to talk to your children about non-traditional relationships (e.g., homosexuality)?;Before 10;After 10, before 17;18 or later;Never;6628;O;;"politics; religion/superstition; opinion"
q19784;When you draw a picture, write a poem, or otherwise do something creative, are you shy about letting other people see it?;Sometimes;Rarely;Often;If I'm still learning the required skills;10813;M;3, 1, 2, [4];descriptive
q19799;Do you believe dreams have hidden meanings to them?;Yes;No;;;3926;O;;"religion/superstition; opinion"
q19800;Would you pretend to share an interest with someone you really liked as a way to gain favour with them?;Yes;No;;;2361;O;;"preference; descriptive"
q19813;Is it better to live by your own moral standards and allow others to live by theirs, or is it better to press your moral standards upon other people?;Live and let live;Press those morals!;;;15420;O;;"politics; religion/superstition; opinion"
q19815;Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?;Yes, I wouldn't be able to tolerate that.;Somewhat, but it's their life.;No, I don't mind.;;31022;O;;preference
q19820;Would you date someone with braces?;Yes, braces are hot!;I'm not sure.;No way!  How uncool.;;10643;O;;preference
q19828;Would you open your spouse's personal mail?;We're a couple, who cares?;No, that's theirs to open.;;;9314;O;;preference
q19832;Would you consider attending the wedding of a relative you haven't seen since childhood?;Yes, no matter what.;No, they're not a part of my life anymore.;Depends on the circumstances. Distance, time, etc;;12051;O;2, 3, 1;preference
q19854;Are sex and intimacy the same thing?;Yes;No;;;29800;O;;"sex/intimacy; opinion"
q19869;An ex wants you to come over and hang out: a situation that is likely to lead to hooking back up with him or her.  Do you:;Go over: it's not like you haven't before;Go, making sure things stay at 'friends only';Don't go: can't risk it;Suggest you both go out with a group;2882;M;[4];preference
q19874;How long do your romantic relationships usually last?;0-6 months;6-12 months;12+ months;I've never been in a relationship;40948;M;[4];descriptive
q19885;Someone offers to give you $100 if you *don't* vote in the next national election. (for example, the US President)  Do you take the money?;Yes;No;;;7489;O;;"politics; preference"
q19886;On the job, which of these is most important to you:;A sense of calling, vocation, or higher purpose;a reliable network of friends and coworkers;security, an ordered existence;stickin' it to the Man;2613;N;;preference
q19891;If you found out that your significant other had been in pornographic films, which of the following most closely describes your reaction?;Repulsion;Arousal;Indifference;;9119;O;2, 3, 1;preference
q19892;Foot fetish?;Yes, I have a foot fetish!;No, I don't have a foot fetish;;;20831;O;;sex/intimacy
q19893;Is a tongue stud a turn-on?;Yes;No;;;23472;O;;"sex/intimacy; preference"
q19897;Do you play or have you ever played a Massive Multiplayer Online Role Playing Game?;I enjoy playing them;I'm a recovering addict - never again;No, but I'd like to try one;Not my type of thing / NO IDEA;20832;O;;"preference; descriptive"
q19898;Do you enjoy finding out what makes things work the way they do?;I'm an information sponge;Sometimes;As long as it works, who cares why?;;41310;O;;"preference; descriptive"
q19915;Could you date someone with a significant Taoist lean in their outlook on life?;Yes, I love the Tao Te Ching.;Sure, why not?;No, they'd be too laid back.;What the hell is Taoism?;19210;O;3, 4, 2, 1;"religion/superstition; preference"
q19919;Would you prefer to have one true love forever, or lots of fun and meaningful relationships?;One true love;Lots of relationships;;;24947;O;;"sex/intimacy; preference"
q19928;Honestly, did you ever torture a cat, dog, or any other furry animal for pleasure?;Yes, but I regret it.;NO WAY!;Yeah, that's fun.;No, but I would do it.;10725;O;2, (1, 4), 3;"preference; descriptive"
q19931;Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...;Incredibly hot!;Just having some girlish fun.;Profoundly annoying.;;38427;O;;"preference; opinion"
q19941;You're in a serious, monogamous relationship when your partner gets offered their dream job overseas for three years.  They have decided that it's a chance they just can't pass up.  Which of these choices is most appealing to you?;Trying to arrange it so you can go with;Maintaining a long-distance relationship;Staying friends, but dating around til they return;Breaking up and moving on;7683;O;;preference
q19996;You have a major crush on a good friend's significant other. This friend is having trouble in the relationship and asks you for advice, do you:;Give your friend honest advice?;Seize the opportunity, suggesting a breakup?;Find a way around giving them any advice?;;3224;N;;"sex/intimacy; preference"
q20016;Protesting for civil rights issues is...;... just for pretentious snobs who want attention.;... necessary, but it's just not for me.;... somewhat important, but not for all issues.;... something that I actively participate in.;7487;O;;"politics; opinion"
q20021;Which of these options most closely describes what you're looking for in your next relationship?;Someone to come home to;Someone to go out with;Someone for tonight;;40763;N;;preference
q20036;When deciding what is right and wrong you are:;more emotional;more logical;Religion/faith determines it.;I am not sure/other reasons.;11150;N;;"religion/superstition; preference"
q20047;How's your English vocabulary?;OK: bar, beer, party, & various cuss words.;High-brow: harlot, pertinent, polyglot, imbibe.;Copious: pulchritude, corvine, laconic, inveigh.;Choate: flavid, callipygian, tonitruous, fremitus.;5769;O;;"descriptive; cognitive"
q20062;While in the middle of the best lovemaking of your life, if your lover asked you to squeal like a dolphin, would you?;Absolutely.;No way.;The best?  Maybe...;;23496;O;2, 3, 1;sex/intimacy
q20068;Do you believe the state of Earth's climate is your personal responsibility?;Yes, we are all to blame if something goes wrong.;No, that's the government's job.;No, I don't care.;Not sure.;2078;M;[3];politics
q20096;Who would you rather compete against?;Someone less skilled than yourself;Someone evenly matched;Someone more skilled;;16220;O;;preference
q20121;Would you date someone who wore a hearing aid?;Yes;No;Perhaps if it were small and difficult to notice.;;12298;O;2, 3, 1;preference
q20135;How do you feel about falling in love?;I love it and want it very much;I try to avoid it;I like to just let it happen;I'm indifferent / not sure;44683;O;2, (3, 4), 1;"sex/intimacy; preference"
q20145;Do you like to celebrate holidays?;Yes, I like to.;No, I don't like to;Depends which holiday it is;I have no preference;11028;O;2, 4, 3, 1;preference
q20161;The diamond dependent economy of West Africa causes civil wars and crimes against humanity. Should people consider this when purchasing or receiving an engagement ring?;Yes;No;I'm Not Sure;I don't care;4437;O;2, (3, 4), 1;politics
q20196;When was your favorite book written? If you have more than one favorite, pick your favorite period of literature.;Pre-1700 (Renaissance/medieval/classical/ancient);1700-1900 (Elizabethan, Romantic, Victorian, etc.);1900-1945ish (Modern);1950s or later (Contemporary);8218;O;;preference
q20199;If you took nude photos of your lover, would you give them the prints and negatives (or destroy them) if you broke up?;Yes;No;I'm Not Sure;;4139;O;2, 3, 1;preference
q20212;Do you feel guilty or bad after having sex?;Always;Sometimes;Never;I'm still a virgin.;30735;M;[4];"sex/intimacy; religion/superstition; descriptive"
q20240;What is worse, being poor or alone?;Poor;Alone;;;26654;N;;opinion
q20277;Little white lies to make people feel better...;Are necessary;Are sometimes needed;Are wrong;;3876;O;;opinion
q20290;Is being 'in-style' with regards to fashion important to you?;Yes, Extremely;Yeah, sometimes;Not really;No Way!;13374;O;;preference
q20298;Compassion is:;A sign of strength;A sign of weakness;Neither;;26062;N;;opinion
q20310;You are arguing with someone and they start to act agressively. You:;Back down - you don't want violence;Ignore the signs and keep arguing;Get agressive right back at them;I'd have backed down way before that stage!;4092;O;4, 1, 2, 3;descriptive
q20408;Do you believe in an energy field that surrounds us that we can manipulate through reiki, acupuncture, chakra balancing, yoga, or some other system?;Yes, and I practice one/some of these.;Yes, but I don't practice any of these.;No, but I do practice one/some of these.;No, and I would never practice any of these.;22825;O;;religion/superstition
q20418;Do you keep a budget (of your finances)?;Yes;No;Sometimes;;43634;O;2, 3, 1;descriptive
q20424;Would you continue dating someone who openly found your friends disgusting?;Yes;No;;;8523;O;;preference
q20452;Are you comfortable with who you are?;Yes;No;;;13455;O;;descriptive
q20471;What's the best conversation material for a first date?;Jobs, pets, hobbies;What you want out of a relationship;Goals, plans, wishes, hopes;Conversation?;10297;N;;"preference; opinion"
q20519;In a relationship I like to discuss politics with my partner.;All the time!;Sure. I'm interested in sharing our beliefs.;Sometimes. It depends.;Hardly. Politics are boring or personal.;40256;O;;"politics; preference"
q20527;Which would you rather win?;A Nobel Prize;A Grammy, Oscar, Tony, or Emmy;A Super Bowl, World Series, or sports championship;The Lottery;8199;N;;preference
q20530;When chatting with a potential friend/significant other online, is use of proper grammar and spelling important to you?;Yes;No;;;30682;O;;preference
q20534;Would you put your elderly parent in a facility if it were possible that you could care for them at home?;Yes;No;I'm Not Sure;;2643;O;2, 3, 1;preference
q20568;How much of your love life do you tell your friends?;They know every detail.;They know a lot.;They know the basics.;They know nothing.;8386;O;;"descriptive; preference"
q20586;Would you say that you're the type of person who...;learns from their mistakes;sometimes continues bad habits;doesn't see the point in learning from them;doesn't make any mistakes;8908;M;[4];descriptive
q20633;Could you fall in love with someone that you had no initial physical interest in, if you got to know them and they had an amazing personality?;Yes;No;I'm Not Sure;;13288;O;2, 3, 1;preference
q20661;Could you date / marry someone who made a living off the legal harm of others (cigarette company representative / gov't weapons developer, etc..)?;Yes;No;I'm Not Sure / Sometimes / Depends;;4777;O;2, 3, 1;preference
q20662;Could you date someone who loved you with all their heart, and whom you liked a lot, but who was terrible in bed?;Yes;No;I'm Not Sure;;17101;O;2, 3, 1;"sex/intimacy; preference"
q20672;Do you think the standard of western morality has declined in the last thirty years?;Yes, I yearn for better values.;No, things are better now.;Can't compare. Values are relative. / Don't know;;5553;O;2, 3, 1;"politics; religion/superstition; opinion"
q20725;Do you space out or daydream a lot?;All the time;Rarely / never;Sometimes;;43906;O;;descriptive
q20745;From which medium are you most likely to find out about new news stories?;Television;Newspaper;Radio;Online;11788;N;;descriptive
q20755;Are you the kind of person that is known to use the sentence 'I don't care what other people think.';Yes;No;;;2987;O;;descriptive
q20773;Hypothetical: You are (romantically) interested in someone. After a few dates there is definitely chemistry. Since your last encounter, they've had a brief fling, but are still very interested in you. How do you feel?;I want nothing more to do with them...;I'm unimpressed, but will give them a chance...;It really doesn't matter...;;12334;O;;preference
q20777;Some people just don't deserve to be in a relationship -- agree or disagree?;Agree;Disagree;;;4368;O;;opinion
q20778;You're up against a nearly impossible challenge. Your ideal partner:;pushes you hard to succeed;reminds you to be realistic;stands back, but comforts you if you fail;;29761;N;;preference
q20781;How many times would a person have to turn you down before you took the hint?;Just the once.;I like to try a few times just to make sure.;After the 10th time I call it quits.;I'm relentless!;6400;O;;descriptive
q20818;Once you take a moral position, can anything be said or done to change your mind?;Yes, life is a big gray area anyway.;No, some things are just Right or Wrong.;Maybe. It depends on the issue.;Maybe, but it would take a lot.;28211;O;2, (3, 4), 1;"politics; religion/superstition; descriptive"
q20838;My hair is usually...;Very well groomed.;Given a good combing.;Intentionally unruly or unkempt.;Left untouched.;22090;O;;descriptive
q20848;Would you like to 'live hard, die fast, and leave a beautiful corpse'?;Yes;No;;;3001;O;;"preference; descriptive"
q20851;The survival of another species should be...;Our responsibility.;Unimportant.;Determined exclusively by natural selection.;Determined by its usefulness to humanity.;4519;N;;"politics; preference; opinion"
q20889;What's your opinion of the phrase 'making love' when it refers to sex?;It's beautiful.;It's hokey and overly sentimental.;It refers to a very specific kind of sex.;It's no better or worse than any other.;36901;N;;opinion
q20896;In a conversation are you usually...;Listening;Waiting to speak;;;13418;O;;descriptive
q20928;If you saw a man knitting in public what would you think?;He's gay.;He's hot.;He's just secure in his masculinity.;He's weird.;17721;N;;opinion
q20930;Rate your self-confidence:;Very, very high;Higher than average;Average;Below average;53737;O;;descriptive
q20950;People who throw cigarette butts out of their car window...;Are not doing any real harm;Are being insensitive and/or rude;;;23987;N;;opinion
q20967;Could you ever date or associate with a person who was desperately unsure of themselves?;yes/probably;no/probably not;unsure/depends on the case;;6444;O;2, 3, 1;preference
q20975;Were you ever addicted to an illicit substance?;Yes, I am still using;Yes, but I quit;No;;6847;O;;descriptive
q20976;You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?;Yes, and it makes me uncomfortable.;I guess, but It doesn't change how I feel.;That seems like an average number.;No, that's nothing.;34627;O;;opinion
q20981;Genital piercings:;Make me hot;Ouch, no thanks.;No opinion / Not sure;;29012;O;2, 3, 1;preference
q21086;Those ___ want ___ go, ___.;two, to, too;to, to, to;too, two, to;two, too, too;14647;N;;cognitive
q21093;How willing would you be to sacrifice your life in order to save your country's Head of State (eg. Queen or President);I would do it without hesitation;It depends on the circumstances;I would never do it.;;6239;O;;"politics; preference"
q21122;Would you have a 'Happy Button' installed on your body, connected to your brain, which would instantly make you very happy whenever you pressed it?;Yes;No;I'm not sure;;1986;O;2, 3, 1;preference
q21135;How do you feel about 'straight edge' kids (kids who have made a movement out of not smoking, drinking, doing drugs, etc..)?;I think it's cool/respectable;They annoy the piss out of me;They don't bother me;;13955;O;2, 3, 1;opinion
q21175;Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.;Yes;No;I find learning boring;;31729;O;;"descriptive; cognitive"
q21181;It's your first date, do you split the bill, pay the whole bill yourself, have them pay the whole bill;Split the bill;Pay the whole bill;Have them pay the whole bill;It doesn't matter to me, I'll be happy in any case;20392;M;2, 1, 3, [4];preference
q21200;Is it morally right for society to allow parents of children too young to make their own decisions to deny them the medical attention they require for survival for religious reasons?;Yes, it is their child after all;No, absolutely not;I'm Not Sure;;8438;O;2, 3, 1;"politics; religion/superstition; opinion"
q21245;You see a mother breastfeeding at the mall.  For the most part she is covered, but you can tell what she is doing.  What is your reaction?;Gross!;How sweet!  What a good mom!;No reaction, just keep shopping.;Sexy.;13162;N;;preference
q21249;As a general rule, do you think glasses make a person look smarter?;Yes;No;Depends on the person;;13701;O;2, 3, 1;opinion
q21411;Do you enjoy intellectual debates on topics like politics, religion, science or philosophy?;I love to argue!;Sometimes.;It's usually boring or annoying.;I'm not smart enough.;34498;M;[4];"preference; cognitive"
q21487;If you caught your child (or future child) smoking pot what would you do?;Try to talk and educate them;Send them for counseling;Whip their ass;Do Nothing/Ignore it;7515;N;;preference
q21488;Do you pick up after yourself? Be honest.;Always.;Yeah, when I have the time.;No, I live in filth.;No, my mom/roommate/partner mostly does it for me.;30108;O;(3, 4), 2, 1;descriptive
q21523;If you really needed some cash, would you lie to get it?;Yes;No;I'm Not Sure;;3987;O;2, 3, 1;"preference; descriptive"
q21527;Do you feel there are any circumstances in which a person is obligated to have sex with you?;Yes;No;;;30992;O;;"sex/intimacy; opinion"
q21589;Would you consider dating someone who's never been in a relationship before?;Yes, that would be great;Yes, I think;I don't know, I don't think I could;No way!;10757;O;;preference
q21709;When you are at the movies with your date or your friends, how much talking does it take to make you upset?;No talking allowed upon the start of the film;Talking during and usually about the trailers;Little comments during the movie.;Constant chatter, to you, others, or a cell phone;11610;O;;preference
q21729;Is satanism acceptable?;Sure;Yes, it seems a bit immature though.;No, it is wrong.;I don't know/care.;16863;O;3, 4, 2, 1;"religion/superstition; opinion"
q21754;What is your opinion concerning strip clubs?;I would be there every day of the week if I could.;They can be fun every once and a while.;I do not really have an opinion/never been to one.;They're gross/disgusting/insulting/other.;28674;O;;"preference; opinion"
q21755;Does your culture/ethnicity/race play a large role in your identity?;It plays a crucial part in who I am;It's interesting, but not really;Who I am is completely independent of my heritage;I'm adopted;18469;M;[4];descriptive
q21792;Let's say you've been happily married for around five years. Somehow, you find out that your spouse once robbed a bank and was never caught. Would you turn them over to the authorities?;Yes;No;;;2758;O;;descriptive
q21793;How often do you try new things (food, activities, music, whatever) that you've never tried before?;Several times per week, or more.;Several times per month.;Several times per year.;Rarely or never.;28351;O;;descriptive
q21814;Have you ever used LiveJournal, Tumblr, or any other blogging site?;Yes, I'm addicted;Yeah, once and a while.;No, what's all the hype about?;No way.;13857;O;;descriptive
q21896;Do you enjoy flowers?;Yes;No;Flowers are a waste of time;;10938;O;;preference
q21986;Do you typically speak and write in a clear, precise manner?;Yes, almost always.;Yes, but only for classes/work.;It depends on my mood.;Ha, my language is vague and messy.;24824;O;;descriptive
q22021;Is your ideal match well-off financially (or at the very least someone who has high income potential)?;Yes, it's very important.;It's somewhat important.;It's not very important;It's not important at all.;33917;O;;preference
q22122;How long would you have to talk to someone online before you felt comfortable to meet?;I'd meet right away if their profile were cool;A few days;A few weeks;A few months [or never];34086;O;;preference
q22125;Do you prefer?;Slim Men/Women;Average Men/Women;Fuller Figured Men/Women;I Don't Care/Not Fussy;25779;M;[4];preference
q22141;I would rather be....;Unemployed, broke, but busy doing things I love;Working 60 hours a week at a job I like;Working regular hours at a job I hate;;7142;N;;preference
q22198;If you were out to dinner and your date was a vegetarian would you still order meat?;Yes;No;I'm Not Sure/ I would ask them first;I'm vegetarian too;17329;N;1, 2, 4, 3;descriptive
q22206;Would you radically alter your appearance (hair, clothes, body modifications) for your significant other?;Yes;No way!;I'm not sure, it depends...;;9921;O;2, 3, 1;descriptive
q22400;How many people have you kissed that are not related to you, in a more than friendly way?;0;1-10;11-50;51+;10105;O;;descriptive
q22401;What sounds most fun to you?;Playing videogames;Reading/Writing poetry;Watching TV;Hanging out with friends;6647;N;;opinion
q22412;Suppose there exists an omnipotent God.  This God comes to you one day and says it is essential that he become human for the day and you take his place. At the end of the day, do you give God back his job, or remain God for some longer period of time?;Give it back, I couldn't usurp God's position;Give God back his job, I wouldn't want it;Stay God, I'd be an awesome omnipotent ruler;Stay God, I couldn't do much worse, could I?;5128;O;(1, 2), (3, 4);"religion/superstition; preference"
q22419;How do you feel when you see an attractive person whose sex you can't determine?;Turned on;Curious;Offended or disgusted;That's impossible!;5077;N;;"descriptive; preference"
q22439;Can just one person significantly change the world?;Yes;No;;;19184;O;;opinion
q22496;Board games?;What are board games?;I love boardgames, let's go play.;Boardgames are okay, I guess.;I'd rather do something else.;23647;O;2, 3, 4, 1;preference
q22534;Would you ideally like to be married within the next 3 years?;Yes;No;Possibly;I'm already married;24139;M;2, 3, 1, [4];preference
q22560;Which character best represents your personality?  (if you don't know/remember the characters, just go by the description);Garfield - apathetic & sarcastic;Bugs Bunny - creative & versatile;Batman - quiet problem-solver;Mickey Mouse - cheery & energetic;21961;N;;descriptive
q22566;The most important question to ask yourself when making a decision is...;Will everyone be happy?;Is it the right thing to do?;Will I get what I want?;;4835;N;;"preference; opinion"
q22569;Have you ever used a fake ID to do or acquire something you were legally barred from as a result of your age?;Yes;No;;;14067;O;;descriptive
q22642;Would you ever start a relationship with someone who was still living with an ex for financial reasons? Assume they slept in separate beds.;Yes;No;I'm Not Sure;;5393;O;2, 3, 1;preference
q22683;Can you sleep in the same room as someone who snores?;Yes;No;;;22389;O;;descriptive
q22706;Are you totally comfortable being naked around your lover, not just during sex?;Yes;No;;;21473;O;;"sex/intimacy; descriptive"
q22944;Do you believe the government should be allowed to keep anything secret?;Never!;Some things, yes.;;;7487;O;;politics
q22965;Which cause is most appealing to you?;The enviroment;World peace;The economy;Eradicating all diseases from the earth;4782;N;;"politics; preference"
q22991;Is it important to you that your family approve of your relationships (both platonic and romantic)?;Yes;No;I'm Not Sure;;9913;O;2, 3, 1;descriptive
q23120;Which is most important to you in determining attractiveness?;Chest/Breasts;Butt/Legs;Face/Smile;Other;23911;N;;preference
q23132;Do you like to play drinking games?;Yes, they're totally sweet!;No, I think they're cheesy/lame;Not really, but I will on occasion;No, I don't drink;28277;M;2, 3, 1, [4];preference
q23147;Imagine you're having the perfect conversation with your ideal partner.  What are you doing?;Telling stories;Debating;Agreeing;Making plans;29873;N;;preference
q23193;Do you more often get angry with yourself or with other people?;Myself;Others;;;9159;O;;descriptive
q23230;You go on a date with someone, and during the date you say you would like to go out again. The next day you change your mind. How do you let them know?;Call them and tell them you've changed your mind;Wait for them to call you, and then tell them;Ignore all of their calls/e-mails/faxes to you;Keep seeing them, but half-heartedly;7511;N;;"preference; descriptive"
q23233;Do you have time for a committed relationship in your life at this point?;Yes, absolutely;Probably not;No;;23160;O;;descriptive
q23240;Do you find it fair that under national emergencies leaders are escorted to extreme safety while the majority of the public is at risk?;Yes;No;;;1922;O;;"politics; opinion"
q23246;A child injures himself after trying to reenact a dangerous move he saw on a T.V. show.  Who should be held MOST responsible?;The T.V. network, for airing the show.;The parents, for not supervising the child.;The child, for not realizing the danger.;I'm not sure;4509;N;;"politics; opinion"
q23293;If you had to pick one of the following types of people for a significant other, which would it be?;Wholesome;A little on the slutty side;Crazy and colorful;Dark and mysterious;30939;N;;preference
q23301;Are you scared of the future?;Yes, a lot;Yes, a little;No, not really;No, not at all;10411;O;;descriptive
q23305;How many countries have you visited?;I have never left the country I live in now.;Between 2 and 5 countries.;Between 6 and 10 countries.;More than 10 countries.;24592;O;;descriptive
q23311;Do you have good posture?;Yes;No;Sometimes, when the situation calls for it;;14042;O;2, 3, 1;descriptive
q23338;Your signifigant other has a hobby that you find boring.  They're busy doing whatever it is they like to do, and you're bored.  What do you do?;Go do something I like, alone;Sit and watch to figure out why they like it.;Sit and watch, resentful.;Bug them for attention.;17907;O;;descriptive
q23389;You're out on the street and you encounter some people speaking a foreign language. What's your reaction?;You're in our country, speak our language!;No big deal.;Cool, what language are they speaking?;(in their language) Hi, how are you?;23050;O;;preference
q23390;Could you date someone who cannot speak your own language very well?;Yeah.  Accents are sexy anyway.;No, we need to be able to communicate clearly;;;9655;O;;preference
q23401;Could you date someone related to someone responsible for heinous acts? For example, if he or she was the sibling of a convicted serial killer or descendent of a Nazi war criminal?;Yes;No;I'm Not Sure;;3877;O;2, 3, 1;preference
q23407;If your spouse asked you to get a small discreet matching tatoo with them, would you?;Yes, Most Likely;Maybe, I would think about it;No, what if we divorced?;No, I disagree with tatoos;6015;M;[4];preference
q23439;What is your opinion about softcore pornography magazines such as Playboy and Playgirl?;Shows the beauty of the human body;Degrading to the models;Doesn't matter to me;;11014;O;2, 3, 1;opinion
q23472;Do you think it's okay for a female to get pregnant and then dump 'the biological father', intentionally using him to have a child?;Yes;No;;;8949;O;;opinion
q23477;Is the left or right hemisphere of your brain dominant?;Left (Science/Language/Logic/Reality);Right (Art/Philosophy/Emotion/Imagination);Both! My hemispheres are co-dominant!;I don't like this brain talk;22133;M;2, 3, 1, [4];descriptive
q23504;Many people who are homeless have jobs.  Assuming a person is not a substance abuser, do you think the law should punish their employers for not providing a living wage?;Yes;No;I'm Not Sure;;3674;O;2, 3, 1;politics
q23507;Could you date someone who never, ever, threw anything away?;Yes, junk is cool;No;I don't know;;24090;O;2, 3, 1;preference
